mpirun --report-bindings -np 2 -npernode 2 ./IMB-MPI1 PingPong -mslog 28  2>/dev/null |grep -v ^# |grep -v -e '^$' >> ucx_n2.txt;;;;;
ct1pt-tnode007;;;;;
-0,88;13,81;;;;
#bytes;#repetitions;t[usec];Mbytes/sec;t(computed);Mbytes/sec(computed)
0;1000;0,21;0;0,204;0
1;1000;0,2;4,9;0,199;5,048
2;1000;0,19;10,42;0,195;10,284
4;1000;0,19;20,66;0,195;20,43
8;1000;0,19;41,84;0,192;41,873
16;1000;0,19;85,28;0,188;85,447
32;1000;0,22;145,64;0,223;142,745
64;1000;0,23;278,55;0,223;286,315
128;1000;0,31;412,75;0,306;417,324
256;1000;0,34;757,36;0,336;764,793
512;1000;0,39;1322,42;0,378;1357,324
1024;1000;0,49;2104,94;0,49;2090,906
2048;1000;0,75;2734,84;0,747;2742,012
4096;1000;1,12;3659,98;1,117;3668,744
8192;1000;1,86;4408,82;1,863;4399,52
16384;1000;2,94;5564,78;2,972;5514,181
32768;1000;4,98;6582,47;4,805;6825,157
65536;640;8,5;7713,87;8,211;7988,389
131072;320;14,96;8761,66;14,735;8897,476
262144;160;13,85;18928,26;13,437;19562,813
524288;80;25,02;20957,77;24,294;21685,265
1048576;40;55,52;18884,76;53,812;19521,606
2097152;20;146,37;14327,26;143,84;14586,903
4194304;10;312,52;13420,97;313,412;13383,485
