mpirun -np 2 --mca pml ob1 --report-bindings --map-by core --mca btl vader,self ./IMB-MPI1 PingPong -mslog 28  2>/dev/null |grep -v ^# |grep -v -e '^$' >> ob1_core_vader.txt;;;;;
ct1pt-tnode007;;;;;
-1,64;9,63;;;;
#bytes;#repetitions;t[usec];Mbytes/sec;t(computed);Mbytes/sec(computed)
0;1000;0,25;0;0,248;0
1;1000;0,27;3,73;0,274;3,655
2;1000;0,27;7,44;0,273;7,34
4;1000;0,27;14,89;0,273;14,676
8;1000;0,27;29,85;0,274;29,24
16;1000;0,29;54,82;0,298;53,591
32;1000;0,29;111,66;0,295;108,919
64;1000;0,33;195,84;0,335;190,982
128;1000;0,37;344,69;0,384;333,69
256;1000;0,43;595,81;0,445;575,087
512;1000;0,62;824,17;0,612;838,107
1024;1000;0,74;1392,23;0,704;1455,445
2048;1000;0,89;2289,8;0,882;2321,303
4096;1000;1,68;2431,52;1,742;2353,007
8192;1000;2,05;3991,91;2,063;3971,911
16384;1000;2,61;6282,39;2,645;6196,818
32768;1000;3,74;8768,08;3,755;8734,281
65536;640;5,08;12896,09;5,292;12403,48
131072;320;10,06;13035,46;9,987;13154,69
262144;160;18,11;14471,74;18,334;14339,503
524288;80;37,68;13915,7;37,821;13882,764
1048576;40;88,28;11877,29;89,146;11765,115
2097152;20;211,55;9913,17;213,29;9836,328
4194304;10;445,48;9415,19;441,964;9493,222
