mpirun -np 2 --mca pml ob1 --report-bindings --map-by node --mca btl tcp,self ./IMB-MPI1 PingPong -mslog 28  2>/dev/null |grep -v ^# |grep -v -e '^$' >> ob1_node.txt;;;;;
ct1pt-tnode007;ct1pt-tnode009;;;;
29,95;2,75;;;;
#bytes;#repetitions;t[usec];Mbytes/sec;t(computed);Mbytes/sec(computed)
0;1000;16,36;0;16,253;0
1;1000;16,49;0,06;16,321;0,06
2;1000;16,65;0,12;16,404;0,123
4;1000;16,64;0,24;16,384;0,243
8;1000;16,52;0,48;16,327;0,489
16;1000;16,76;0,95;16,381;0,977
32;1000;16,82;1,9;16,447;1,947
64;1000;17,06;3,75;16,616;3,857
128;1000;17,6;7,27;17,161;7,465
256;1000;17,52;14,62;17,141;14,946
512;1000;17,98;28,48;17,486;29,317
1024;1000;18,43;55,56;17,964;57,047
2048;1000;39,92;51,3;39,425;51,957
4096;1000;40,28;101,69;39,889;102,703
8192;1000;41,69;196,5;41,078;199,49
16384;1000;44,05;371,9;43,3;378,558
32768;1000;53,04;617,78;52,296;628,946
65536;640;63,43;1033,13;63,761;1028,084
131072;320;129,68;1010,77;120,076;1093,975
262144;160;171,91;1524,88;169,182;1556,098
524288;80;273,33;1918,18;255,083;2070,478
1048576;40;469,08;2235,37;416,534;2539,092
2097152;20;919,61;2280,49;770,99;2748,096
4194304;10;1866,71;2246,89;1554,573;2729,496
