mpirun -np 2 --mca pml ob1 --report-bindings --map-by socket --mca btl tcp,self ./IMB-MPI1 PingPong -mslog 28  2>/dev/null |grep -v ^# |grep -v -e '^$' >> ob1_socket.txt;;;;;
ct1pt-tnode007;;;;;
15,7;3,42;;;;
#bytes;#repetitions;t[usec];Mbytes/sec;t(computed);Mbytes/sec(computed)
0;1000;8,11;0;8,327;0
1;1000;8,23;0,12;8,413;0,119
2;1000;8,22;0,24;8,413;0,238
4;1000;8,17;0,49;8,404;0,477
8;1000;8,15;0,98;8,398;0,953
16;1000;8,2;1,95;8,423;1,899
32;1000;8,2;3,9;8,404;3,808
64;1000;8,18;7,82;8,426;7,596
128;1000;8,57;14,93;8,753;14,63
256;1000;8,59;29,79;8,785;29,147
512;1000;8,63;59,34;8,871;57,739
1024;1000;9,8;104,46;10,029;102,124
2048;1000;9,19;222,92;9,458;216,587
4096;1000;11,06;370,49;11,332;361,501
8192;1000;11,76;696,37;11,953;685,444
16384;1000;15,96;1026,46;16,174;1013,06
32768;1000;26,16;1252,64;26,433;1239,833
65536;640;57,54;1139,03;58,513;1120,195
131072;320;81,34;1611,38;82,189;1595,072
262144;160;123,68;2119,49;124,927;2098,532
524288;80;197,07;2660,42;197,851;2650,039
1048576;40;328,76;3189,5;327,312;3203,639
2097152;20;626,96;3344,94;621,847;3372,513
4194304;10;1234,43;3397,78;1236,304;3392,634
